-1,-1,-1,-1,0,0,-1,-1,-1,1,1,1,1,-1,-1,-1,2,2,2,2,-1,-1,-1,2,3,3,3,-1,-1,-1,3,3,4,4,-1,-1,-1,4,4,4,5,-1,-1,-1,5,5,5,5,-1,-1,-1,6,6,-1,-1,-1,-1
-1,-1,-1,-1,0,0,-1,-1,-1,1,1,1,1,-1,-1,-1,2,2,2,2,-1,-1,-1,2,3,3,3,-1,-1,-1,3,3,4,4,-1,-1,-1,4,4,4,5,-1,-1,-1,5,5,5,5,-1,-1,-1,6,6,-1,-1,-1,-1
-1,-1,-1,-1,0,0,-1,-1,-1,1,1,1,1,-1,-1,-1,2,2,2,2,-1,-1,-1,2,3,3,3,-1,-1,-1,3,3,4,4,-1,-1,-1,4,4,4,5,-1,-1,-1,5,5,5,5,-1,-1,-1,6,6,-1,-1,-1,-1
-1,-1,-1,-1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,-1,-1,-1,-1
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7
-1,-1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7
-1,-1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7
-1,-1,-1,8,8,8,8,8,-1,-1,-1,9,-1,-1,-1,9,-1,-1,-1,10,-1,-1,-1,10,-1,-1,-1,11,-1,-1,-1,11,-1,-1,-1,12,-1,-1,-1,12,-1,-1,-1,13,-1,-1,-1,13,14,14,14,14,14,14,14,14,15
8,8,8,8,8,8,8,8,-1,-1,-1,9,-1,-1,-1,9,-1,-1,-1,10,-1,-1,-1,10,-1,-1,-1,11,-1,-1,-1,11,-1,-1,-1,12,-1,-1,-1,12,-1,-1,-1,13,-1,-1,-1,13,14,14,14,14,14,14,14,14,15
8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,14,14,14,14,14,14,-1,-1,-1
8,8,8,8,8,8,8,8,-1,-1,-1,9,-1,-1,-1,9,-1,-1,-1,10,-1,-1,-1,10,-1,-1,-1,11,-1,-1,-1,11,-1,-1,-1,12,-1,-1,-1,12,-1,-1,-1,13,-1,-1,-1,13,14,14,14,14,14,14,-1,-1,-1
8,8,8,8,8,8,8,8,-1,-1,-1,9,-1,-1,-1,9,-1,-1,-1,10,-1,-1,-1,10,-1,-1,-1,11,-1,-1,-1,11,-1,-1,-1,12,-1,-1,-1,12,-1,-1,-1,13,-1,-1,-1,13,14,14,14,14,14,14,-1,-1,-1
-1,-1,-1,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,16
-1,-1,-1,8,8,8,8,8,-1,-1,-1,9,-1,-1,-1,9,-1,-1,-1,10,-1,-1,-1,10,-1,-1,-1,11,-1,-1,-1,11,-1,-1,-1,12,-1,-1,-1,12,-1,-1,-1,13,-1,-1,-1,13,14,14,14,14,14,14,14,14,16
-1,-1,-1,8,8,8,8,8,-1,-1,-1,9,-1,-1,-1,9,-1,-1,-1,10,-1,-1,-1,10,-1,-1,-1,11,-1,-1,-1,11,-1,-1,-1,12,-1,-1,-1,12,-1,-1,-1,13,-1,-1,-1,13,14,14,14,14,14,14,14,14,16
17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,24
17,17,17,17,17,17,17,17,-1,-1,-1,18,-1,-1,-1,18,-1,-1,-1,19,-1,-1,-1,19,-1,-1,-1,20,-1,-1,-1,20,-1,-1,-1,21,-1,-1,-1,21,-1,-1,-1,22,-1,-1,-1,22,23,23,23,23,23,23,-1,-1,-1
