level,node_id,coarse_row,coarse_col,fine_row,fine_col,num_children
1,0,2,433,5,866,2
1,1,2,434,4,869,3
1,2,2,435,4,870,4
1,3,2,436,4,872,4
1,4,2,437,5,874,1
1,5,3,423,7,846,2
1,6,3,424,7,848,2
1,7,3,431,7,862,2
1,8,3,432,6,864,4
1,9,3,433,6,866,4
1,10,3,434,6,868,4
1,11,3,435,6,870,4
1,12,3,436,6,872,4
1,13,3,437,6,874,4
1,14,3,438,7,876,1
1,15,4,422,9,845,1
1,16,4,423,8,846,4
1,17,4,424,8,848,4
1,18,4,425,8,850,3
1,19,4,426,8,852,3
1,20,4,427,9,854,2
1,21,4,428,9,856,2
1,22,4,429,8,859,3
1,23,4,430,8,860,4
1,24,4,431,8,862,4
1,25,4,432,8,864,4
1,26,4,433,8,866,4
1,27,4,434,8,868,4
1,28,4,435,8,870,4
1,29,4,436,8,872,4
1,30,4,437,8,874,4
1,31,4,438,8,876,4
1,32,4,439,9,878,1
1,33,5,421,11,843,1
1,34,5,422,10,845,3
1,35,5,423,10,846,4
1,36,5,424,10,848,4
1,37,5,425,10,850,4
1,38,5,426,10,852,4
1,39,5,427,10,854,4
1,40,5,428,10,856,4
1,41,5,429,10,858,4
1,42,5,430,10,860,4
1,43,5,431,10,862,4
1,44,5,432,10,864,4
1,45,5,433,10,866,4
1,46,5,434,10,868,4
1,47,5,435,10,870,4
1,48,5,436,10,872,4
1,49,5,437,10,874,3
1,50,5,443,11,887,1
1,51,6,419,13,839,1
1,52,6,420,13,840,2
1,53,6,421,12,842,4
1,54,6,422,12,844,4
1,55,6,423,12,846,4
1,56,6,424,12,848,4
1,57,6,425,12,850,4
1,58,6,426,12,852,4
1,59,6,427,12,854,4
1,60,6,428,12,856,4
1,61,6,429,12,858,4
1,62,6,430,12,860,4
1,63,6,431,12,862,4
1,64,6,432,12,864,4
1,65,6,433,12,866,4
1,66,6,434,12,868,4
1,67,6,435,12,870,4
1,68,6,436,12,872,4
1,69,6,441,12,882,4
1,70,6,442,12,884,4
1,71,6,443,12,886,4
1,72,6,444,13,888,1
1,73,7,417,15,835,1
1,74,7,418,14,837,3
1,75,7,419,14,838,4
1,76,7,420,14,840,4
1,77,7,421,14,842,4
1,78,7,422,14,844,4
1,79,7,423,14,846,4
1,80,7,424,14,848,4
1,81,7,425,14,850,4
1,82,7,426,14,852,4
1,83,7,427,14,854,4
1,84,7,428,14,856,4
1,85,7,429,14,858,4
1,86,7,430,14,860,4
1,87,7,431,14,862,4
1,88,7,432,14,864,4
1,89,7,433,14,866,4
1,90,7,434,14,868,4
1,91,7,435,14,870,4
1,92,7,436,14,872,4
1,93,7,441,14,882,4
1,94,7,442,14,884,4
1,95,7,443,14,886,4
1,96,7,444,14,888,2
1,97,8,416,16,833,2
1,98,8,417,16,834,4
1,99,8,418,16,836,4
1,100,8,419,16,838,4
1,101,8,420,16,840,4
1,102,8,421,16,842,4
1,103,8,422,16,844,4
1,104,8,423,16,846,4
1,105,8,424,16,848,4
1,106,8,425,16,850,4
1,107,8,426,16,852,4
1,108,8,427,16,854,4
1,109,8,428,16,856,4
1,110,8,429,16,858,4
1,111,8,430,16,860,4
1,112,8,431,16,862,4
1,113,8,432,16,864,4
1,114,8,433,16,866,4
1,115,8,434,16,868,4
1,116,8,435,16,870,4
1,117,8,436,16,872,4
1,118,8,437,17,874,1
1,119,8,440,17,881,1
1,120,8,441,16,882,4
1,121,8,442,16,884,4
1,122,8,443,16,886,4
1,123,8,444,16,888,4
1,124,9,416,18,833,3
1,125,9,417,18,834,4
1,126,9,418,18,836,4
1,127,9,419,18,838,4
1,128,9,420,18,840,4
1,129,9,421,18,842,4
1,130,9,422,18,844,4
1,131,9,423,18,846,3
1,132,9,424,18,848,2
1,133,9,425,18,850,4
1,134,9,426,18,852,4
1,135,9,427,18,854,4
1,136,9,428,18,856,4
1,137,9,429,18,858,4
1,138,9,430,18,860,4
