timestep,agent_id,task_id,step,loc,row,col
0,3072,1925,0,2671101,1483,1701
0,3072,1925,1,2669301,1482,1701
0,3073,1671,0,501663,278,1263
0,3073,1671,1,501664,278,1264
0,3073,1671,2,501665,278,1265
0,3073,1671,3,501666,278,1266
0,3073,1671,4,503466,279,1266
0,3073,1671,5,505266,280,1266
0,3073,1671,6,507066,281,1266
0,3073,1671,7,508866,282,1266
0,3073,1671,8,510666,283,1266
0,3073,1671,9,512466,284,1266
0,3073,1671,10,514266,285,1266
0,3073,1671,11,516066,286,1266
0,3073,1671,12,517866,287,1266
0,3073,1671,13,519666,288,1266
0,3073,1671,14,521466,289,1266
0,3073,1671,15,523266,290,1266
0,3073,1671,16,525066,291,1266
0,3073,1671,17,526866,292,1266
0,3073,1671,18,528666,293,1266
0,3073,1671,19,530466,294,1266
0,3073,1671,20,532266,295,1266
0,3073,1671,21,534066,296,1266
0,3073,1671,22,535866,297,1266
0,3073,1671,23,537666,298,1266
0,3073,1671,24,539466,299,1266
0,3073,1671,25,541266,300,1266
0,3073,1671,26,543066,301,1266
0,3073,1671,27,544866,302,1266
0,3073,1671,28,546666,303,1266
0,3073,1671,29,548466,304,1266
0,3073,1671,30,550266,305,1266
0,3073,1671,31,552066,306,1266
0,3073,1671,32,553866,307,1266
0,3074,2828,0,467651,259,1451
0,3074,2828,1,467652,259,1452
0,3074,2828,2,467653,259,1453
0,3074,2828,3,467654,259,1454
0,3074,2828,4,469454,260,1454
0,3074,2828,5,471254,261,1454
0,3074,2828,6,473054,262,1454
0,3075,6041,0,1709661,949,1461
0,3075,6041,1,1709662,949,1462
0,3075,6041,2,1709663,949,1463
0,3075,6041,3,1709664,949,1464
0,3075,6041,4,1711464,950,1464
0,3075,6041,5,1713264,951,1464
0,3076,2798,0,2803442,1557,842
0,3076,2798,1,2805242,1558,842
0,3076,2798,2,2807042,1559,842
0,3076,2798,3,2808842,1560,842
0,3076,2798,4,2810642,1561,842
0,3077,2393,0,2263772,1257,1172
0,3077,2393,1,2263771,1257,1171
0,3077,2393,2,2263770,1257,1170
0,3077,2393,3,2265570,1258,1170
0,3077,2393,4,2267370,1259,1170
0,3077,2393,5,2269170,1260,1170
0,3077,2393,6,2270970,1261,1170
0,3077,2393,7,2272770,1262,1170
0,3077,2393,8,2274570,1263,1170
0,3077,2393,9,2276370,1264,1170
0,3077,2393,10,2278170,1265,1170
0,3078,5798,0,2570886,1428,486
0,3078,5798,1,2569086,1427,486
0,3078,5798,2,2567286,1426,486
0,3078,5798,3,2565486,1425,486
0,3078,5798,4,2563686,1424,486
0,3078,5798,5,2561886,1423,486
0,3078,5798,6,2560086,1422,486
0,3078,5798,7,2558286,1421,486
0,3078,5798,8,2558287,1421,487
0,3078,5798,9,2558288,1421,488
0,3078,5798,10,2558289,1421,489
0,3078,5798,11,2558290,1421,490
0,3078,5798,12,2558291,1421,491
0,3078,5798,13,2558292,1421,492
0,3078,5798,14,2558293,1421,493
0,3078,5798,15,2558294,1421,494
0,3078,5798,16,2558295,1421,495
0,3078,5798,17,2558296,1421,496
0,3078,5798,18,2558297,1421,497
0,3079,7338,0,2140454,1189,254
0,3079,7338,1,2140455,1189,255
0,3079,7338,2,2140456,1189,256
0,3079,7338,3,2140457,1189,257
0,3079,7338,4,2140458,1189,258
0,3079,7338,5,2140459,1189,259
0,3079,7338,6,2140460,1189,260
0,3079,7338,7,2140461,1189,261
0,3079,7338,8,2140462,1189,262
0,3079,7338,9,2142262,1190,262
0,3079,7338,10,2144062,1191,262
0,3079,7338,11,2145862,1192,262
0,3079,7338,12,2147662,1193,262
0,3079,7338,13,2149462,1194,262
0,3079,7338,14,2151262,1195,262
0,3079,7338,15,2153062,1196,262
0,3079,7338,16,2154862,1197,262
0,3079,7338,17,2156662,1198,262
0,3079,7338,18,2158462,1199,262
0,3079,7338,19,2160262,1200,262
0,3079,7338,20,2162062,1201,262
0,3079,7338,21,2163862,1202,262
0,3079,7338,22,2165662,1203,262
0,3079,7338,23,2167462,1204,262
0,3079,7338,24,2169262,1205,262
0,3079,7338,25,2171062,1206,262
0,3079,7338,26,2172862,1207,262
0,3079,7338,27,2174662,1208,262
0,3079,7338,28,2176462,1209,262
0,3079,7338,29,2178262,1210,262
0,3079,7338,30,2180062,1211,262
0,3079,7338,31,2181862,1212,262
0,3079,7338,32,2183662,1213,262
0,3080,2913,0,2475998,1375,998
0,3080,2913,1,2475997,1375,997
0,3080,2913,2,2475996,1375,996
0,3080,2913,3,2475995,1375,995
0,3080,2913,4,2475994,1375,994
0,3080,2913,5,2475993,1375,993
